Logger, sanyaapanin:         	Automatically truncated logfile to 1048576, MadelineProto 8.3.1
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434641532 sent 60.40528721 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434658224 sent 60.405304391 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434669468 sent 60.405311096 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434680852 sent 60.405315985 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434691956 sent 60.405320804 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434702852 sent 60.405325343 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434714236 sent 60.405334911 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434725340 sent 60.405345877 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434737144 sent 60.40535747 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434748108 sent 60.405365991 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434760052 sent 60.405374651 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434771436 sent 60.405383521 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434782052 sent 60.405393229 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434793436 sent 60.40540161 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434804332 sent 60.405409363 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434815436 sent 60.405417044 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434826820 sent 60.405425914 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434837296 sent 60.405434925 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821560434848400 sent 60.405442327 seconds ago in DC 2, no response has been received or it wasn't yet handled!
